trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,6,-55.67282552407323,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-151.4894428345192,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-131.54118275906484,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-19.229593288943512,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-96.52993295880829,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,5,-97.26707632129686,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-77.79085972236503,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-124.83467224603342,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-107.76271820726427,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-60.69222153289591,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,15,-65.08034473501516,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",25,0,-106.83313758708934,"{0: 19, 1: 2, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-210.61660354861885,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-168.79259047066205,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-101.74405283773741,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",30,0,-169.69686603237085,"{0: 14, 1: 7, 2: 5, 3: 3, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-85.93436317566372,"{0: 11, 1: 5, 2: 1, 3: 3, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-100.34878453956867,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,12,-32.93322722713503,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-156.30374772736855,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",35,0,-82.78404684752137,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",25,0,-198.0669603363779,"{0: 12, 1: 2, 2: 6, 3: 3, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-4.724715614459966,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",20,0,-43.51681592422478,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-60.4812892620848,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-140.00249353132438,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",25,13,-103.77190445735896,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 2}",1
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-164.77165290991846,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,0,-105.98186391088741,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 0}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",30,20,1.8132400092531307,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",20,0,-140.34790610925373,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",25,0,-120.22006545547376,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",20,0,-91.55814921827223,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,0,-254.74986505573338,"{0: 10, 1: 4, 2: 6, 3: 1, 4: 4}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-175.97050189160564,"{0: 14, 1: 3, 2: 2, 3: 4, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-31.16654282128431,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-116.7463584929879,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,7,-85.12529814555747,"{0: 8, 1: 7, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-234.30621746744228,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",20,0,-140.8576329859671,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-49.76353545953829,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,11,-82.15276312881666,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 2}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-112.68552310786046,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-46.15509048578278,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",35,0,-105.11793567470438,"{0: 24, 1: 3, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",30,15,-41.702784741490795,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 0}",1
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-125.56272705771126,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-117.49304288485959,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,18,-74.18731275025227,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,6,-73.8514136843769,"{0: 6, 1: 1, 2: 6, 3: 1, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-145.29461839682637,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-140.2429122519656,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-45.45768813632591,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-116.23489426680658,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-24.097057671366255,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,13,-36.10985836835508,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",25,0,-139.4433401039869,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-85.10758463006243,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",30,0,-123.691661355299,"{0: 22, 1: 2, 2: 2, 3: 2, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-17.29657253796137,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,0,-157.31129760607678,"{0: 17, 1: 1, 2: 9, 3: 2, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,0,-160.12225284082632,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-102.03685468614232,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-149.88040900530774,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",20,4,-73.87277029808001,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-22.750677205448632,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-140.5009389434599,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-201.12221619071127,"{0: 7, 1: 4, 2: 3, 3: 4, 4: 2}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",30,0,-135.9115319849402,"{0: 13, 1: 8, 2: 7, 3: 2, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-5.667574985404215,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-65.59118611467386,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",30,0,-5.252031695914357,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
