trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.48198871879588,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.379678218904083,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-125.37959191908023,"{0: 20, 1: 5, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.39820404445483,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.18880712043361,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.9775385845733,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-271.6404285053409,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.14622860286809,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.28055904814192,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.41591039388031,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.31495948969336,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.33951415720455,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.19771123726824,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.00761220271949,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.21149125645086,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.44731864820292,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.23205313708348,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.91929461144944,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-80.15190211734702,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-161.25094381761312,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.09885920983379,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-160.76312956631875,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-105.51659722395539,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-45.93703467590393,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-193.89315117773714,"{0: 22, 1: 4, 2: 4, 3: 2, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-164.8595736559022,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-64.38595526625201,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-63.89287130415218,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,10,-12.9761803438611,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.5336814336232,"{0: 14, 1: 6, 2: 7, 3: 2, 4: 1}",0
